,RMS,M,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11,target
0,0.09852779099999999,0.16546092,-0.38706855100000004,-1.1937961240000001,-0.973299646,0.15824359400000002,-0.24694209399999997,-0.069376366,0.302392297,0.218392693,-1.0860507,-1.240671693,-1.7062519219999999,1
1,0.078267607,0.147016056,-0.099193434,-0.9932849579999999,-0.36166605,0.204833342,-0.837582409,-0.641987684,-0.254815942,-0.379259574,-1.062085395,-1.581943415,-1.785023628,1
2,0.07068416400000001,0.138736066,-0.204276498,-1.1147776870000001,-0.406118652,-0.11691960300000001,-0.77556961,-0.753092723,-0.081520195,-0.047442150999999995,-0.668618184,-1.066334195,-1.3829996430000002,1
3,0.080138772,0.152574184,1.080125462,0.455753224,-0.494340361,0.11574577900000001,-1.64103004,-1.6893852459999998,-0.9455622859999999,-0.857492658,-1.4997503069999998,-0.505977107,-0.66795561,1
4,-1.052360446,-1.116420485,-1.102244233,-2.994605003,-2.034215286,-1.7965243340000001,-1.041387772,-0.212968827,0.294011831,0.103498634,-0.091375934,-0.624227593,-0.321369264,1
5,0.09099733199999999,0.165123739,1.033777922,0.62781765,0.7088679729999999,0.9639872290000001,-0.570432089,-0.6886823870000001,-0.226930379,0.22163720000000003,-0.154145444,0.24406924800000002,0.37543717,1
6,-1.042198087,-1.1967878220000001,-0.47832884299999995,-0.29351785,0.077898713,0.589451356,-0.24914523600000002,-0.273429519,-0.084926801,-0.34367782,0.11877645099999999,0.012452516,0.271643513,1
7,-1.162809267,-1.230742598,-0.481548895,-0.48584958,-0.43719234,0.114115978,-0.77417708,-1.367703306,-0.7770090820000001,-0.805050077,-0.044871050999999995,0.152162831,0.26431715899999997,1
8,-1.113243525,-1.2184397470000001,-0.46169408,-0.506681916,-0.141881335,0.22744881,-0.997138382,-1.313530996,-0.829717461,-0.556270676,-0.016803582,-0.136466835,0.21998816399999999,1
9,-0.9950186759999999,-1.14275891,-0.8379565390000001,-1.356096241,-1.4828557709999999,-0.116152378,-1.960741118,-2.8086097289999996,-1.9376381230000002,-2.478579661,-1.538677731,-0.954723074,-0.998195754,1
10,0.08650412199999999,0.16076415,1.287529653,1.458507674,1.7082644519999999,1.7373027490000001,1.454654867,1.685926169,1.198936477,1.009485194,0.622866054,0.391809069,0.18010529600000003,2
11,-0.9229714659999999,-0.993167921,-1.10187603,-0.932714037,-0.973339356,-1.205753535,-0.915257724,-0.66979759,-1.050948601,-1.003364957,-0.567307032,-0.50628744,-0.37720214399999996,2
12,-0.865035972,-0.96684552,-1.121615431,-1.222799638,-1.61779278,-1.413328853,-1.4857342269999998,-1.599473251,-1.243944798,-1.126462166,-1.652334645,-1.4146032240000002,-1.03612878,2
13,-0.937696286,-1.015591623,-0.608602128,-1.158174718,-0.8048887790000001,-1.24772037,-1.271167965,-0.24693581899999997,-0.041770972,-0.280753298,-0.46378129,-0.296611509,-0.032517665,2
14,-0.9819434020000001,-1.027168868,-0.391420759,-1.071957494,-1.015058936,-1.251488744,-1.889056123,-0.649593132,-0.321722455,-0.310259495,-0.36230226600000004,-0.24811692,0.142904433,2
15,0.084514785,0.158664541,1.255127339,1.338850758,1.651653511,1.8384779830000002,1.76996833,1.724213095,1.669531759,1.780583401,1.2446638890000001,0.8648448559999999,0.839562017,3
16,-0.898339942,-0.9166695420000001,-0.124501255,0.38934915600000003,1.017939856,1.065573911,1.109928244,0.875583775,0.875780095,1.330532029,1.080667858,0.87872014,0.4082125,3
17,0.080592808,0.154079561,0.950204087,0.5333746429999999,0.669714496,1.32170149,0.394812815,0.060439413,0.590968691,0.584491591,0.7292046520000001,0.7106371220000001,0.752660914,3
